question,option1,option2,option3,option4,answer_index
"Si un cliente entrega el 25% del valor de un lote, ¿qué condición se aplica?","No recibe bonificación porque está por debajo del 30%.","Recibe 15% de bonificación sobre la entrega.","Recibe 10% de bonificación sobre la entrega, ya que aplica entre 20% y 39%.","Puede financiar hasta 120 cuotas solo si supera el 30%.",2
"En la modalidad Lote + Casa, ¿qué beneficio diferencial tiene Terraloteos frente a que el cliente construya por su cuenta?","Solo ofrecemos planos aprobados y dirección de obra.","Terraloteos entrega llave en mano, con anteproyecto, planos municipales, dirección técnica, conexiones de servicios y limpieza del terreno.","Brindamos únicamente la construcción de la estructura, sin gestiones municipales.","Financiamos solo la casa, pero el lote queda fuera del contrato.",1
"¿Cuál de estas afirmaciones es correcta respecto a las promociones de septiembre 2025?","Hay 12 lotes en Miralba con descuento al contado y todos los lotes de Estación del Valle bajaron a USD 7.900.","Hay 12 lotes en Miralba (6 en etapa 1 y 6 en etapa 3) con precio al contado promocional, además de promos puntuales en Ayre de Larca, Estación del Valle y Ayres del Valle con cuotas reducidas.","Las promos aplican solo a desarrollos terminados, no a preventa.","Las promos permiten financiar todos los productos en hasta 10 cuotas sin interés.",1
"¿Qué gasto adicional fijo debe considerar un cliente al comprar un lote, además de la seña?","USD 2.000 de gastos administrativos.","$280.000 administrativos, $60.000 escribanía y $30.000 boleto digital.","USD 1.500 de gastos administrativos y boleto digital.","$150.000 de administrativos, $50.000 escribanía y $60.000 boleto.",1
"¿Cuál es la estrategia más efectiva para responder a un cliente que duda entre preventa y terminado?","Decirle que todos son iguales, que elija por precio.","Explicar que en preventa el valor de entrada es bajo y se busca plusvalía; en terminados puede construir ya mismo, pero con precio más alto.","Recomendar siempre preventa porque es más económico.","Recomendar siempre terminado porque es más seguro.",1
"¿Cuál es la ventaja competitiva de Terrazas del Talar frente a otros barrios premium?","Tiene seguridad privada y SUM.","Su tamaño de 2.500 m² con valor por m² muy bajo, ideal para cabañas.","Es el más económico de todos los desarrollos.","Tiene departamentos listos para habitar.",1
"Si un cliente quiere invertir en un producto con entrada baja y alta plusvalía futura, ¿qué desarrollo deberías recomendar?","Estación del Valle","Estación Conlara","Pueblo Mío","Terrazas del Talar",0
"¿Qué monto máximo puede bonificarse sobre una entrega inicial?","USD 1.852","USD 2.000","USD 1.500","No hay tope de bonificación.",0
"¿Cuál es la condición para que un cliente pueda financiar hasta 120 cuotas?","Siempre que entregue al menos el 20%.","Solo cuando supere el 30% de entrega inicial.","Si paga en dólares.","Cuando el lote es de categoría premium.",1
"Si un cliente pide información de un desarrollo en el que no hay stock, ¿qué debe hacer el asesor?","Decirle que no hay nada disponible y cerrar la conversación.","Ofrecerle alternativas en otros desarrollos similares.","Anotar el pedido y esperar stock nuevo.","Pasarlo a postventa.",1
"¿Qué información mínima debe registrar el asesor en el CRM después de contactar a un cliente?","Nombre y teléfono.","Nombre, producto de interés y observaciones de la conversación.","Solo la seña si la hizo.","Ninguna, porque el sistema lo guarda automático.",1
"Si un lead entra por folletería con un número de teléfono, ¿cómo se carga al sistema?","No hace falta cargarlo porque no es digital.","El asesor lo carga manualmente en el CRM.","El coordinador lo carga.","Se espera a que el lead complete un formulario.",1
"¿Cuál es la ventaja principal de usar el nuevo sistema Estudio KM en lugar de WhatsApp personal?","Que es más rápido para mandar audios.","Que permite registrar todas las conversaciones y materiales enviados en un solo lugar.","Que no hace falta ingresar los datos del cliente.","Que responde de forma automática sin intervención del asesor.",1
"Si un lead llega por referido, ¿cómo se gestiona?","El asesor lo trabaja sin registrarlo porque no viene de campaña.","Se carga manualmente en el CRM y se trabaja como cualquier otro lead.","Solo lo trabaja el coordinador.","No se registra porque no tiene costo.",1
"¿Cuántos años de trayectoria tiene Terraloteos en el mercado?","Más de 5 años","Más de 10 años","Más de 15 años","Más de 20 años",2
"¿Cuál es el diferencial más fuerte de Terraloteos frente a otras desarrolladoras?","Ofrecer siempre el lote más barato.","Tener financiamiento propio, hasta en 120 cuotas.","Vender solo barrios cerrados.","Trabajar únicamente en Merlo.",1
